"ID","SIRE.ID","DAM.ID","Sex","BYEAR"
7503,7242,7170,"F",2007
7502,7242,7170,"M",2007
7501,6965,7170,"M",2007
5931,5482,5226,"F",2007
5908,5142,4461,"F",2007
7753,7549,6887,"F",2008
6304,4713,5983,"F",2008
7930,NA,7560,"M",2008
8082,7673,7559,"M",2009
8095,NA,7613,"M",2009
8025,7549,7512,"F",2009
8047,7256,7672,"M",2009
8046,NA,7672,"F",2009
8942,7549,7850,"M",2010
7679,7387,6914,"M",2007
5907,NA,4461,"F",2007
8943,7549,7850,"M",2010
8062,7387,7314,"M",2009
8064,NA,7556,"M",2009
8066,7262,7556,"F",2009
8782,NA,7613,"M",2010
6447,5927,5212,"M",2009
8121,NA,7619,"F",2009
8071,7423,7560,"F",2009
8072,7586,7560,"F",2009
8073,7586,7560,"M",2009
8085,7638,7496,"F",2009
8087,7638,7496,"F",2009
6268,5318,5226,"M",2008
6221,NA,5247,"F",2008
8159,7716,7396,"F",2009
8944,7549,7850,"F",2010
6543,5515,6047,"F",2009
8781,7635,7613,"M",2010
8918,7551,7825,"M",2010
8705,7549,7573,"F",2010
8917,7551,7825,"F",2010
8921,7551,7825,"F",2010
8714,7435,7557,"F",2010
8715,7435,7557,"F",2010
8716,7435,7557,"F",2010
8717,NA,7557,"F",2010
8662,7900,7311,"M",2010
8876,7492,8105,"M",2010
8946,7551,7850,"F",2010
8342,5266,6401,"M",2010
8146,7435,7557,"M",2009
4277,NA,3002,"F",2001
4892,4006,4571,"M",2003
4893,NA,4571,"F",2003
4894,NA,4571,"F",2003
4880,NA,4310,"M",2003
4552,NA,3135,"F",2002
4868,NA,3864,"F",2003
4778,NA,2486,"F",2003
5437,4534,4707,"M",2005
5375,4013,4123,"F",2005
5342,5092,5029,"M",2005
5447,3865,5094,"M",2005
5368,4776,4848,"F",2005
5310,NA,5050,"M",2005
5311,5149,5050,"M",2005
5312,NA,5050,"M",2005
5313,5149,5050,"M",2005
5422,4776,4050,"M",2005
5421,4776,4050,"M",2005
5329,4404,4157,"M",2005
5330,4404,4157,"F",2005
5071,4776,4050,"F",2004
5018,NA,4123,"F",2004
5414,4534,4041,"F",2005
5121,NA,4571,"M",2004
5232,NA,4329,"F",2005
5324,5093,5005,"F",2005
5693,5142,5029,"F",2006
5367,4776,4848,"F",2005
5122,4412,4571,"M",2004
6292,5982,5908,"F",2008
7805,7501,7315,"M",2008
8067,7502,7111,"F",2009
8113,7502,7649,"M",2009
7861,NA,7503,"F",2008
6487,5256,5910,"M",2009
6489,6205,5931,"F",2009
6491,NA,5931,"M",2009
6490,6204,5931,"F",2009
8166,7501,7757,"F",2009
8167,7501,7757,"F",2009
8260,8226,6221,"F",2010
8257,8226,6221,"M",2010
8636,7679,7111,"F",2010
8258,NA,6221,"M",2010
8962,8591,8159,"F",2010
6092,4534,NA,"M",2007
5265,4880,4479,"F",2005
5388,5153,4778,"M",2005
5235,4404,4277,"F",2005
5236,5141,4277,"F",2005
5441,3865,5071,"M",2005
5439,4413,5071,"M",2005
5442,NA,5018,"F",2005
5443,NA,5018,"M",2005
5461,5170,4868,"M",2005
5463,5170,4868,"F",2005
5460,5177,4868,"F",2005
5696,5312,NA,"M",2006
5656,5310,5247,"F",2006
5944,5122,5497,"F",2007
5700,5256,5232,"F",2006
6057,NA,5414,"M",2007
6058,5841,5414,"M",2007
6059,5841,5414,"F",2007
6243,5716,5330,"M",2008
6066,4413,5367,"F",2007
6051,5841,5071,"F",2007
6248,5256,5232,"F",2008
6247,5927,5232,"F",2008
6450,5927,5232,"F",2009
6451,5927,5232,"F",2009
6530,6031,5414,"F",2009
8250,6491,6104,"F",2010
8647,8113,7195,"F",2010
8307,6487,6430,"M",2010
8484,8403,5367,"F",2010
8819,7805,7896,"F",2010
6060,4013,5414,"M",2007
6040,NA,5368,"F",2007
6003,5245,5700,"M",2007
5652,5310,5235,"F",2006
6202,5696,NA,"F",2008
5996,5470,5656,"M",2007
6465,5256,5700,"F",2009
6549,NA,6066,"F",2009
8249,6414,5700,"F",2010
8427,6057,6040,"F",2010
8252,6203,6248,"M",2010
8428,6057,6040,"M",2010
8426,6026,6040,"M",2010
8425,6026,6040,"M",2010
8424,6026,6040,"M",2010
8246,5466,5700,"M",2010
